Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0805_2012Metric",131.500000,-59.500000,90.000000,top
"C2","100nF","C_0805_2012Metric",133.750000,-59.500000,90.000000,top
"C3","0.1uF","C_0805_2012Metric",147.000000,-91.750000,0.000000,top
"C4","1uF","C_0805_2012Metric",133.750000,-63.000000,-90.000000,top
"C5","22uF","C_0805_2012Metric",132.750000,-72.750000,180.000000,top
"C6","22uF","C_0805_2012Metric",132.750000,-77.250000,180.000000,top
"C7","0.1uF","C_0805_2012Metric",135.550000,-101.425000,0.000000,top
"C8","10uF","C_0805_2012Metric",132.250000,-103.750000,0.000000,top
"C9","1uF","C_0805_2012Metric",128.774964,-72.100000,0.000000,top
"C10","1uF","C_0805_2012Metric",132.750000,-88.250000,90.000000,top
"C11","1uF","C_0805_2012Metric",157.224964,-88.475000,90.000000,top
"C12","1uF","C_0805_2012Metric",160.724964,-72.000000,180.000000,top
"C13","22uF","C_0805_2012Metric",132.250000,-105.750000,0.000000,top
"C14","10uF","C_0805_2012Metric",136.750000,-80.500000,90.000000,top
"C15","10uF","C_0805_2012Metric",139.000000,-80.500000,90.000000,top
"C16","0.1uF","C_0805_2012Metric",148.250000,-88.250000,90.000000,top
"C17","0.1uF","C_0805_2012Metric",143.050000,-92.250000,180.000000,top
"D1","1N4148W","D_SOD-123",128.874964,-69.850000,0.000000,top
"D2","SS34","D_SMA",127.750000,-98.000000,-90.000000,top
"D3","1N4148W","D_SOD-123",130.500000,-88.250000,90.000000,top
"D4","1N4148W","D_SOD-123",159.474964,-88.325000,90.000000,top
"D5","1N4148W","D_SOD-123",160.624964,-69.750000,180.000000,top
"J2","BATT","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",144.000000,-95.450000,0.000000,top
"J3","UART","PinHeader_1x04_P2.54mm_Vertical",158.500000,-92.750000,-90.000000,top
"J8","UART","PinHeader_1x04_P2.54mm_Vertical",158.550000,-96.500000,-90.000000,top
"J9","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",145.000000,-103.750000,0.000000,top
"Q1","AO3400A","SOT-23",130.662464,-66.000000,180.000000,top
"Q2","AO3401A","SOT-23",139.250000,-96.750000,90.000000,top
"Q3","AO3400A","SOT-23",128.937500,-84.000000,180.000000,top
"Q4","AO3400A","SOT-23",161.037464,-83.975000,0.000000,top
"Q5","AO3400A","SOT-23",158.787464,-66.000000,0.000000,top
"R1","10K","R_0805_2012Metric",131.000000,-63.250000,0.000000,top
"R2","10K","R_0805_2012Metric",132.224964,-69.750000,-90.000000,top
"R3","10K","R_0805_2012Metric",154.412500,-101.425000,180.000000,top
"R4","10K","R_0805_2012Metric",132.000000,-84.162500,90.000000,top
"R5","10K","R_0805_2012Metric",157.974964,-84.137500,-90.000000,top
"R6","10K","R_0805_2012Metric",157.224964,-69.750000,-90.000000,top
"R7","5.1K","R_0805_2012Metric",138.500000,-100.750000,-90.000000,top
"R8","5.1K","R_0805_2012Metric",151.500000,-100.750000,-90.000000,top
"SW1","RST","SW_SPST_B3U-1000P",136.500000,-104.975000,180.000000,top
"SW2","BOOT","SW_SPST_B3U-1000P",153.500000,-104.975000,0.000000,top
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",145.000000,-64.190000,0.000000,top
"U3","TXB0104D","SOIC-14_3.9x8.7mm_P1.27mm",147.250000,-81.750000,90.000000,top
"U4","ICM-20948","InvenSense_QFN-24_3x3mm_P0.4mm",145.000000,-88.250000,0.000000,top
"U5","AMS1117-1.8","SOT-223-3_TabPin2",139.000000,-86.750000,-90.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",133.750000,-96.000000,90.000000,top
