Designator,Mid X,Mid Y,Rotation,Layer
C1,131.5,-59.5,90,top
C10,132.75,-88.25,90,top
C11,157.224964,-88.475,90,top
C12,160.724964,-72,180,top
C13,132.25,-105.75,0,top
C14,136.75,-80.5,90,top
C15,139,-80.5,90,top
C16,148.25,-88.25,90,top
C17,143.05,-92.25,180,top
C2,133.75,-59.5,90,top
C3,147,-91.75,0,top
C4,133.75,-63,270,top
C5,132.75,-72.75,180,top
C6,132.75,-77.25,180,top
C7,135.55,-101.425,0,top
C8,132.25,-103.75,0,top
C9,128.774964,-72.1,0,top
D1,128.874964,-69.85,0,top
D2,127.75,-98,270,top
D3,130.5,-88.25,90,top
D4,159.474964,-88.325,90,top
D5,160.624964,-69.75,180,top
J2,145,-95.45,0,top
J3,154.69,-92.75,270,top
J8,154.74,-96.5,270,top
J9,145,-103.75,180,top
Q1,130.662464,-66,0,top
Q2,139.25,-96.75,270,top
Q3,128.9375,-84,0,top
Q4,161.037464,-83.975,180,top
Q5,158.787464,-66,180,top
R1,131,-63.25,0,top
R2,132.224964,-69.75,270,top
R3,154.4125,-101.425,180,top
R4,132,-84.1625,90,top
R5,157.974964,-84.1375,270,top
R6,157.224964,-69.75,270,top
R7,138.5,-100.75,270,top
R8,151.5,-100.75,270,top
SW1,136.5,-104.975,270,top
SW2,153.5,-104.975,90,top
U1,145,-64.19,0,top
U3,147.25,-81.75,0,top
U4,145,-88.25,0,top
U5,139,-86.75,90,top
U6,133.75,-96,270,top
